FULL_NAME,GRADE,SSAN,RECORD_STATUS,ASSIGNED_PAS,ASSIGNED_PAS_CLEARTEXT,OFFICE_SYMBOL,DUTY_TITLE,DUTY_START_DATE,DOR,DAFSC,CAFSC,PAFSC,2AFSC,3AFSC,4AFSC,DATE_ARRIVED_STATION,DUTY_PHONE,TAFMSD,DOE,DOS,DATE_OF_BIRTH,HOME_ADDRESS,HOME_CITY ,HOME_STATE,HOME_ZIP_CODE,SUPV_NAME,GRADE_PERM_PROJ,UIF_CODE,UIF_DISPOSITION_DATE,PROJ_EVAL_CLOSE_DATE,MARITAL_STATUS,RNLTD,GAINING_PAS,GAINING_PAS_CLEARTEXT,LAST_EVAL_RATING,LAST_EVAL_CLOSE_DATE,PERF_INDICATOR,SPOUSE_SSAN,SUPV_BEGIN_DATE,REENL_ELIG_STATUS,HOME_PHONE_NUMBER,AGE,DEROS,DEPLOY_ADMIN_STATUS,DEPLOY_ADMIN_STATUS_CLEARTEXT,DEPLOY_ADMIN_STOP_DATE,DEPLOY_LEGAL_STATUS,DEPLOY_LEGAL_STATUS_CLEARTEXT,DEPLOY_LEGAL_STOP_DATE,DEPLOY_PHYS_STATUS,DEPLOY_PHYS_STATUS_CLEARTEXT,DEPLOY_PHYS_STOP_DATE,DEPLOY_TIME_STATUS,DEPLOY_TIME_STATUS_CLEARTEXT,DEPLOY_TIME_STOP_DATE,AVAILABILITY_CODE,AVAILABILITY_CODE_CLEARTEXT,AVAILABILITY_DATE,AVAILABILITY_STATUS,AVAILABILITY_STATUS_CLEARTEXT,LIMITATION_CODE,LIMITATION_CODE_CLEARTEXT,LIMITATION_END_DATE,SEC_CLR,TYPE_SEC_INV,DT_SCTY_INVES_COMPL,SEC_ELIG_DT,TECH_ID,ACDU_STATUS,ANG_ROLL_INDICATOR,AFR_SECTION_ID,CIVILIAN_ART_ID,ATTACHED_PAS,FUNCTIONAL_CATEGORY
Flor Hark,SMS,123-12-2456,20,NM1234,SQUADRONVSFB,CYCM,Physical Therapy Assistant,03-Jan-2023,13-Sep-2019,2E274,2M02S,,,,,02-Jan-2022,702-717-1711,24-Apr-2017,19-Jun-2023,16-Dec-2022,18-Aug-2077,3 Lunder Hill,Las Vegas,Nevada,0562-7805,Brigham Kordt,,,,27-Mar-2024,S,,,,L,22-Nov-2022,A,512-54-5483,19-Mar-2023,1J,303-430-7040,51,,,,,,,,,,,,,,,,,A,,,EFMP,29-Dec-2023,V,5R,07-Nov-2023,04-Jun-2023,,,,,,,A
Sigismundo Procter,2LT,159-84-8462,10,NM1234,SQUADRONLRAFB,CYPR,Professor,03-Jan-2023,15-Jan-2021,2E274,17D,,,,,09-Oct-2023,407-629-2928,28-Jan-2006,15-Jul-2023,23-Dec-2022,05-Apr-2017,56 Novick Plaza,Orlando,Florida,21695-664,Onfre Toe,,,,20-Jul-2024,D,,,,A,24-May-2023,A,152-58-5486,04-May-2023,1R,239-156-6417,33,,,,,,,,,,,,,,,,19-Apr-2024,,,X,,22-Sep-2024,V,7,12-May-2021,04-Nov-2023,,,,,,,A
Lisha Franschini,2LT,125-85-1536,20,VQ1234,SQUADRONVSFB,CYP,Software Consultant,16-Dec-2022,17-Aug-2023,2E274,Z5C052,,,,,19-Aug-2020,941-281-7174,11-Jan-2004,01-Oct-2023,31-Mar-2023,05-Jul-2076,96 Lindbergh Way,Port Charlotte,Florida,46122-110,Delano Romei,,,,20-Dec-2023,M,,NM1234,,V,22-Sep-2023,A,152-58-5486,18-Feb-2023,1R,801-788-0254,41,,,,,,,,,,,,,,31,DEPLOYABLE WITH LIMITATIONS,18-Mar-2024,,,L,,03-Mar-2024,V,A,17-Aug-2019,07-Jan-2022,,,,,,,A
Gayelord Arter,CPT,152-58-5486,10,NM1234,SQUADRONVSFB,CYCP,Food Chemist,23-Aug-2023,29-Jul-2021,Z5C052,17D,,,,Z5C052,17-Oct-2023,904-146-0273,26-May-2023,07-Oct-2023,08-Sep-2023,11-Sep-2068,0 Warner Junction,Saint Augustine,Florida,67046-530,Lucais Meneur,,,,12-Feb-2024,S,,,,A,25-Dec-2022,A,152-58-5486,21-Aug-2023,1M,202-778-0805,35,,,,,,,,49,TEMPORARY DEFFERMENT,,,,,,MEDICAL DEFERMENT,24-May-2024,,,,,02-May-2024,V,A,01-Jul-2023,11-Sep-2022,,,,,,,A
Alida Loftie,COL,152-58-5486,10,VQ1234,SQUADRONLRAFB,CYC,Computer Systems Analyst II,15-Mar-2023,30-Sep-2023,2E274,2E274,,,,,04-Jul-2023,717-234-2891,02-May-2006,12-Sep-2023,06-Mar-2023,31-Jan-2025,52 Kropf Avenue,Harrisburg,Pennsylvania,49967-017,Sapphire Scimone,,,,23-Aug-2024,D,,,,V,01-Oct-2023,A,159-84-8462,06-Aug-2023,3C,814-226-1768,54,,,,,,,,,,,,,,44,,,,APPROVED,,APPROVED SRB,19-Aug-2024,V,T5,29-Aug-2021,23-Dec-2021,,,,,,,A
Rutledge Duggen,SP2,152-58-5486,20,NM1234,SQUADRONLRAFB,CYP,Chief Design Engineer,17-Dec-2021,03-May-2020,17D,Z5C052,,,,,25-Sep-2017,518-111-6514,12-Aug-2006,11-Dec-2022,07-May-2023,30-Mar-2052,502 Sachtjen Drive,Albany,New York,55319-247,Cammie Treadgall,,,,04-Sep-2024,S,,,,A,08-Jul-2023,A,159-84-8462,22-Feb-2023,1R,828-331-7256,41,,,,,,,,,,,,,,,,09-Feb-2024,,,L,MED  ASSIGNMENT LIMITATION,22-Feb-2024,V,T5,17-Nov-2019,23-Oct-2022,,,,,,,A
Minetta Pulley,SP3,159-84-8462,10,VQ1234,SQUADRONLRAFB,CYCP,Chemical Engineer,28-Jul-2022,09-Jan-2023,5C071,Z5C052,,,,,07-Jun-2022,785-694-0615,05-Apr-2015,20-Aug-2023,29-Mar-2023,09-Jul-2074,2 Warbler Center,Topeka,Kansas,43742-0009,Leon Hynes,,,,23-Jul-2024,M,,,,Y,06-Nov-2023,A,123-12-2456,02-Dec-2022,1M,903-804-7731,18,,,,,,,,,,,,,,,,,,,Y,EFMP,18-Jan-2024,V,5R,15-Sep-2020,24-Mar-2022,,,,,,,A
Nanny Rebanks,MSG,125-85-1536,20,NM1234,SQUADRONLRAFB,CYCM,Developer II,07-Jul-2023,13-Nov-2020,2M02S,2M02S,,,,,08-May-2023,770-918-9596,10-Jul-2022,01-Jan-2023,02-Apr-2023,27-Jun-2047,45111 Raven Parkway,Marietta,Georgia,10019-648,Thatcher McNiff,,,,26-Jan-2024,M,,,,L,16-Mar-2023,A,123-12-2456,23-Jun-2023,3C,408-173-9332,33,,,,,,,,,,,,,,,,,,,,EFMP,11-Feb-2024,V,7,26-Nov-2020,17-Feb-2023,,,,,,,A
Sib Kear,SMS,125-85-1536,10,NM1234,SQUADRONVSFB,CYP,Staff Accountant III,29-May-2022,02-Oct-2020,Z5C052,Z5C052,,,,,08-Sep-2021,757-523-8912,04-Oct-2019,05-Jan-2023,27-Jul-2023,04-Aug-2020,9 Saint Paul Way,Norfolk,Virginia,35356-852,Alonzo Shugg,,,,06-Jan-2024,D,,,,A,07-Sep-2023,,123-12-2456,29-Jun-2023,1M,251-873-4776,40,,,,,,,,,,,,,,,,,,APPROVED,X,,09-Jan-2024,V,7,16-Sep-2022,08-Jul-2023,,,,,,,A
Rennie Heibl,SP1,125-85-1536,20,VQ1234,SQUADRONVSFB,CYCM,Quality Engineer,08-Jun-2022,24-Sep-2023,2M02S,5C071,,,,,24-Mar-2022,213-562-0682,20-Dec-2003,03-Jul-2023,18-Apr-2023,17-Nov-2051,538 Brickson Park Avenue,Los Angeles,California,0069-3120,Liane Fookes,,,,18-Sep-2024,S,,,,A,30-Aug-2023,A,123-12-2456,14-Feb-2023,1R,540-198-6330,53,,,,,,,,,,,,,,31,,,,,Q,,25-Sep-2024,V,T5,02-Jul-2022,19-Feb-2022,,,,,,,A
Boonie Klossek,SP2,123-12-2456,10,NM1234,SQUADRONVSFB,CYC,Staff Accountant I,20-Feb-2023,09-Feb-2021,Z5C052,17D,,,,,02-Oct-2020,202-314-7674,13-Jul-2017,03-Nov-2023,15-May-2023,16-Sep-2073,1 Vidon Terrace,Washington,District of Columbia,49999-035,Estel Dufaire,,,,01-Dec-2023,D,,,,V,22-Feb-2023,A,512-54-5483,20-Sep-2023,1M,614-137-5442,19,,,,,,,,,,,,,,31,DEPLOYABLE WITH LIMITATIONS,,A,,Y,,22-Nov-2023,V,5R,20-Dec-2022,21-Jul-2023,,,,,,,A
Katerine Martensen,SP4,159-84-8462,10,VQ1234,SQUADRONLRAFB,CYP,Quality Engineer,05-Aug-2023,24-Aug-2023,2M02S,5C071,,,,,20-Oct-2021,218-764-9673,29-Feb-2012,06-Jan-2023,14-Apr-2023,10-Sep-2051,23178 South Park,Duluth,Minnesota,10157-9835,Emlyn Propper,,,,18-Feb-2024,M,,,,L,30-Jun-2023,A,125-85-1536,15-Mar-2023,1J,405-337-4763,35,,,,,,,,,,,,,,,MEDICAL,21-Mar-2024,A,,,,14-Sep-2024,V,5R,24-Apr-2021,05-Jul-2022,,,,,,,A
Verine Kindleysides,SP2,159-84-8462,20,NM1234,SQUADRONVSFB,CYPR,Paralegal,22-Jun-2023,26-Mar-2020,5C071,5C071,,,,,23-Dec-2017,901-292-2093,18-Jan-2003,08-Sep-2023,19-Nov-2022,04-Jun-2055,8 Killdeer Parkway,Memphis,Tennessee,52389-613,Drusie Leander,,,,15-Jan-2024,S,,,,V,09-Feb-2023,A,125-85-1536,27-Nov-2022,1J,651-199-8270,51,,,,,,,,,,,,,,,,,,,,,28-Nov-2023,V,A,19-Mar-2023,25-Feb-2022,,,,,,,A
Libbi Mabbs,CPT,159-84-8462,20,NM1234,SQUADRONVSFB,CYPR,Software Test Engineer II,26-Jan-2023,30-Sep-2022,5C071,2M02S,,,,,08-Aug-2018,513-543-0959,13-Apr-2004,05-May-2023,07-Jan-2023,13-Apr-2047,87 Northridge Center,Cincinnati,Ohio,58414-3512,Shari Goering,,,,09-Aug-2024,D,,,,Y,25-Apr-2023,A,512-54-5483,24-Aug-2023,1M,719-185-1213,21,,,,,,,,,,,,,,,DEPLOYABLE WITH LIMITATIONS,,,APPROVED,,,01-Jun-2024,V,9,12-Jun-2022,06-Mar-2022,,,,,,,A
Eben Berggren,CPT,159-84-8462,10,NM1234,SQUADRONVSFB,CYC,Accounting Assistant II,28-Oct-2021,26-Nov-2019,17D,2M02S,,,,,13-Sep-2021,408-151-4686,21-Nov-2005,21-Sep-2023,12-Apr-2023,10-Dec-2023,302 Northland Way,San Jose,California,63629-3755,Ingra Deddum,,,,08-Nov-2024,S,,,,V,18-Mar-2023,A,125-85-1536,13-Jul-2023,3C,713-737-4551,18,,,,,,,,,,,,,,,,,,,,,31-Dec-2023,V,9,17-Mar-2020,20-Jul-2023,,,,,,,A
Emily Yewen,2LT,512-54-5483,20,VQ1234,SQUADRONLRAFB,CYCM,Administrative Officer,15-Apr-2023,10-Feb-2023,Z5C052,Z5C052,Z5C052,,,,12-Jul-2020,419-950-8572,12-Aug-2023,27-Nov-2022,29-Jul-2023,07-Apr-2021,0331 Swallow Place,Toledo,Ohio,52125-894,Maiga Lightewood,,,,01-Apr-2024,M,,VQ1234,,Y,17-Oct-2023,A,159-84-8462,18-Jul-2023,1J,408-524-2751,29,,,,,,,,,,,,,,,,,,APPROVED,,MED  ASSIGNMENT LIMITATION,04-Apr-2024,V,9,30-Jul-2020,12-Oct-2023,,,,,,,A
Elbertine Rantoull,CPT,159-84-8462,20,NM1234,SQUADRONLRAFB,CYPR,Recruiting Manager,01-Jul-2023,23-Aug-2019,5C071,Z5C052,,,2E274,,21-May-2019,404-609-5850,21-Oct-2001,21-Feb-2023,11-Sep-2023,29-Dec-2041,8 Donald Terrace,Atlanta,Georgia,76485-1032,Carolee ducarme,,,,03-Aug-2024,D,,,,A,21-Apr-2023,A,159-84-8462,28-Jul-2023,1R,804-311-3398,28,,,,,,,,,,,,,,,,05-Sep-2024,,,,,22-Oct-2024,V,9,21-Apr-2019,03-May-2023,,,,,,,A
Laurene Bolus,SP4,123-12-2456,10,VQ1234,SQUADRONLRAFB,CYPR,Software Consultant,03-Sep-2023,31-Jan-2023,2E274,2M02S,,,,,08-Oct-2020,408-969-7442,03-Sep-2008,25-Feb-2023,13-Jun-2023,16-Apr-2076,80 Warbler Circle,San Jose,California,75848-0400,Avram Pirnie,,,,16-Feb-2024,S,,,,V,31-Oct-2023,A,159-84-8462,20-May-2023,1R,904-762-2807,21,,,,,,,,,,,,,,81,,,,,,,21-Jun-2024,V,5R,29-Nov-2021,09-Mar-2022,,,,,,,A
Kordula Blampey,TSG,512-54-5483,20,VQ1234,SQUADRONLRAFB,CYPR,Engineer I,28-Oct-2022,01-Feb-2019,2M02S,2M02S,,,,,03-Aug-2022,915-659-5562,23-Feb-2023,25-Dec-2022,12-Dec-2022,04-Jun-2043,9040 Sloan Junction,El Paso,Texas,10544-564,Blythe Coldbreath,,,,27-Nov-2023,S,,,,L,29-Jun-2023,A,152-58-5486,25-Jan-2023,1J,813-516-5272,48,,,,,,,,,,,,,,,,,,APPROVED,Q,EFMP,29-Jul-2024,V,5R,30-Jul-2020,07-Sep-2023,,,,,,,A
Ibby Scrowton,SP3,125-85-1536,10,NM1234,SQUADRONVSFB,CYPR,Help Desk Operator,02-Nov-2022,27-Jul-2022,2E274,2M02S,,,,,26-Nov-2020,302-355-1203,28-Nov-2006,14-Mar-2023,25-Oct-2023,31-Dec-2031,6498 Morningstar Lane,Wilmington,Delaware,50419-702,Valera Eteen,,,,30-Aug-2024,D,,,,V,18-Feb-2023,A,123-12-2456,19-Nov-2022,1M,404-430-6327,21,,,,,,,,,,,,,,44,,,,,,,19-Jul-2024,V,A,17-Mar-2020,17-Sep-2023,,,,,,,A
Hanni Dowbakin,1LT,512-54-5483,20,VQ1234,SQUADRONLRAFB,CYCM,Mechanical Systems Engineer,29-Dec-2021,13-Sep-2023,5C071,2M02S,,,,,08-Jan-2021,915-633-6078,15-May-2023,01-Apr-2023,12-Sep-2023,26-Jun-2050,8061 Clemons Trail,El Paso,Texas,0093-4069,Yalonda Kretchmer,,,,30-Sep-2024,M,,,,L,17-May-2023,A,125-85-1536,28-Nov-2022,1J,414-816-7740,48,,,,,,,,,,,,,,,MEDICAL DEFERMENT,,,APPROVED,Y,,22-Mar-2024,V,A,05-Aug-2021,15-Sep-2023,,,,,,,A
Shirley Fripp,CMS,125-85-1536,10,VQ1234,SQUADRONVSFB,CYPR,Structural Engineer,04-Mar-2023,22-Mar-2023,Z5C052,2E274,,,,,01-Jul-2022,916-267-3907,13-Sep-2001,20-Nov-2022,02-Jan-2023,17-Feb-2009,7 Granby Street,Sacramento,California,62756-147,Durante Toby,,,,20-Apr-2024,M,,,,A,04-Nov-2023,A,512-54-5483,13-Dec-2022,3C,573-641-6327,47,,,,,,,,,,,,,28-Dec-2022,81,,,,,,,20-Jul-2024,V,T5,24-Jan-2020,31-Oct-2023,,,,,,,A
Geralda Rodenburgh,SMS,159-84-8462,20,NM1234,SQUADRONLRAFB,CYPR,Help Desk Technician,03-Dec-2022,08-Aug-2019,2M02S,5C071,,,,,08-Jan-2019,337-131-6692,10-Jan-2015,15-Oct-2023,05-Sep-2023,04-Jul-2040,295 Coleman Avenue,Lafayette,Louisiana,60505-1310,Ardath Olkowicz,,,,18-Sep-2024,M,,,,V,01-Dec-2022,A,125-85-1536,21-Nov-2022,1R,713-379-1620,40,,,,,,,,,,,,,,,,,,,,,19-May-2024,V,9,15-Mar-2023,28-Jul-2022,,,,,,,A
Ignacio Batey,SP2,512-54-5483,20,VQ1234,SQUADRONVSFB,CYCM,Human Resources Assistant III,25-Apr-2022,08-Mar-2021,5C071,Z5C052,,,,,10-Jan-2023,915-459-6799,29-Oct-2015,01-Mar-2023,22-Feb-2023,25-Sep-2064,515 Johnson Road,El Paso,Texas,11822-9023,Damian Kingett,,,,11-Sep-2024,D,,,,V,08-Jan-2023,A,159-84-8462,16-Oct-2023,1M,614-816-6672,50,,,,,,,,,,,,,,,,,A,,,,06-Apr-2024,V,A,15-Feb-2022,13-Aug-2022,,,,,,,A
Swen Delcastel,SP2,512-54-5483,10,VQ1234,SQUADRONLRAFB,CYC,Quality Control Specialist,22-Sep-2022,25-Dec-2022,Z5C052,17D,,,,,09-Jun-2022,603-393-7887,24-Jan-2018,14-Dec-2022,14-Dec-2022,01-Feb-2074,68951 Del Sol Alley,Portsmouth,New Hampshire,57237-093,Mikey Bowdidge,,,,08-Feb-2024,D,,,,Y,08-Feb-2023,A,123-12-2456,05-Nov-2023,3C,304-691-4808,33,,,,,,,,,,,,,,,,21-Jun-2024,,,,EFMP,15-Dec-2023,V,7,21-Jan-2023,23-Jan-2023,,,,,,,A
Viv McQuillan,LTC,512-54-5483,20,VQ1234,SQUADRONVSFB,CYP,Senior Cost Accountant,15-Jan-2022,20-Aug-2022,17D,Z5C052,,,,,31-Oct-2019,302-520-4424,23-Apr-2016,25-Jan-2023,05-Mar-2023,09-Feb-2055,55 Ohio Avenue,Wilmington,Delaware,64942-1190,Alayne Wick,,,,10-May-2024,S,,,,A,13-Aug-2023,A,512-54-5483,07-Mar-2023,1R,602-451-3298,20,,,,,,,,,,,,,,,,,,,,,18-Apr-2024,V,7,13-Nov-2020,05-Sep-2023,,,,,,,A
Francoise Warton,CMS,512-54-5483,20,VQ1234,SQUADRONVSFB,CYCM,Account Coordinator,05-Oct-2022,31-Mar-2023,2M02S,2E274,,,,,03-Nov-2018,860-251-8881,30-Jun-2004,01-Aug-2023,07-Feb-2023,17-Oct-2025,7 Mosinee Plaza,West Hartford,Connecticut,10191-1603,Bobine Renon,,,,22-Jun-2024,S,,,,L,16-Oct-2023,A,125-85-1536,09-Dec-2022,1M,661-560-9407,39,,,,,,,,,,,,,,,,,,,,,13-Aug-2024,V,T5,18-May-2019,23-Sep-2023,,,,,,,A
Dredi Dumingo,SP1,512-54-5483,20,NM1234,SQUADRONVSFB,CYCP,Computer Systems Analyst IV,10-Oct-2023,10-Nov-2023,17D,5C071,,,,,05-Sep-2019,515-870-3570,02-Aug-2006,02-May-2023,05-Sep-2023,08-Jul-2024,515 Kim Court,Des Moines,Iowa,55154-9616,Kinna Shobrook,,,,02-May-2024,D,,,,Y,20-Aug-2023,A,152-58-5486,18-Mar-2023,1J,678-410-0203,49,,,,,,,,,,,,,,,,,A,APPROVED,,MED  ASSIGNMENT LIMITATION,04-Apr-2024,V,9,25-Dec-2020,07-Aug-2023,,,,,,,A
Son Ogilby,CMS,512-54-5483,10,VQ1234,SQUADRONVSFB,CYPR,Media Manager IV,23-Sep-2023,07-May-2022,2E274,17D,2E274,,,,21-Apr-2022,770-959-5580,05-Apr-2009,31-May-2023,18-Dec-2022,15-Dec-2048,5 Brentwood Plaza,Atlanta,Georgia,59779-829,Hershel Aldcorn,,,,06-Apr-2024,S,,,,L,03-Dec-2022,A,512-54-5483,05-Oct-2023,3C,303-355-4172,30,,,,,,,,,,,,,,44,DEPLOYABLE WITH LIMITATIONS,16-Apr-2024,,,,,19-Jan-2024,V,5R,26-Jun-2021,09-Dec-2022,,,,,,,A
Christabella Bruin,SGT,125-85-1536,20,VQ1234,SQUADRONLRAFB,CYP,VP Product Management,04-May-2022,14-Jan-2019,2M02S,2E274,,,,,21-Jul-2022,856-622-9514,30-Sep-2016,16-Mar-2023,25-Jul-2023,18-Aug-2071,6498 International Place,Camden,New Jersey,0268-0122,Carleton Silbermann,,,,16-May-2024,D,,,,V,20-May-2023,A,159-84-8462,22-Oct-2023,1R,862-740-4501,51,,,,,,,,43,,,,,,31,,05-Mar-2024,,,,APPROVED SRB,02-Dec-2023,V,5R,06-Dec-2018,16-Aug-2023,,,,,,,A
Jere Joselin,CMS,123-12-2456,10,VQ1234,SQUADRONLRAFB,CYC,Dental Hygienist,15-Mar-2022,06-Feb-2022,2E274,2E274,,,,,19-Apr-2023,918-655-3204,07-Dec-2013,05-Nov-2023,18-Mar-2023,10-Oct-2023,34 Farragut Street,Tulsa,Oklahoma,63824-400,Shellysheldon Binne,,,,16-Feb-2024,M,,,,Y,26-Sep-2023,A,159-84-8462,23-Jan-2023,3C,713-731-7870,42,,,,,,,,,,,,,,,,,A,,,,12-Jan-2024,V,T5,29-May-2023,16-Dec-2022,,,,,,,A
Sayers Roman,SP1,512-54-5483,10,NM1234,SQUADRONVSFB,CYCM,Sales Associate,09-Nov-2023,14-Aug-2023,2M02S,2M02S,,,,,14-Feb-2022,202-114-9137,16-Oct-2012,02-Jan-2023,10-Dec-2022,04-Sep-2045,3379 Dakota Road,Washington,District of Columbia,55346-0411,Bing Barr,,,,20-Sep-2024,S,,,,L,03-Dec-2022,A,125-85-1536,21-Oct-2023,1R,775-472-3695,44,,,,,,,,,,,,,,,,,A,,,,25-Nov-2023,V,T5,13-Feb-2021,23-Oct-2022,,,,,,,A
Alexi Bools,2LT,152-58-5486,10,NM1234,SQUADRONLRAFB,CYCP,Senior Financial Analyst,15-Dec-2021,12-May-2023,2E274,Z5C052,,,,,01-Nov-2022,502-653-4346,17-Jul-2006,22-Aug-2023,04-Dec-2022,16-May-2039,07241 Bowman Crossing,Frankfort,Kentucky,49348-853,Ingrim Hanse,,,,26-Jun-2024,D,,,,L,01-Jun-2023,A,123-12-2456,08-Jul-2023,3C,919-640-1409,18,,,,,,,,,,,,,,31,,,,,Y,,27-Nov-2023,V,5R,01-Sep-2020,03-Mar-2023,,,,,,,A
Royce Galley,2LT,152-58-5486,10,VQ1234,SQUADRONLRAFB,CYCP,Cost Accountant,25-Jun-2022,05-Sep-2019,2E274,2M02S,,,,,26-Jan-2023,303-474-3484,13-Feb-2007,15-Aug-2023,01-Oct-2023,25-Dec-2011,18 Nelson Junction,Denver,Colorado,45802-174,Minor Mateo,,,,02-Apr-2024,D,,,,V,13-Apr-2023,A,159-84-8462,24-Sep-2023,3C,915-227-0072,52,,,,,,,,,,21-Dec-2022,,,,81,,03-Jul-2024,A,,,,29-Oct-2024,V,5R,05-Feb-2022,15-May-2022,,,,,,,A
Dicky Picker,SP4,512-54-5483,10,VQ1234,SQUADRONLRAFB,CYC,Nurse,01-Jul-2022,08-Apr-2019,2E274,2M02S,,,,,29-Jan-2021,918-304-8921,16-Feb-2015,06-Jan-2023,30-May-2023,06-Nov-2006,7115 Buhler Pass,Tulsa,Oklahoma,10191-1794,Catlee Hullyer,,,,08-Apr-2024,M,,,,L,01-Apr-2023,A,512-54-5483,28-Jul-2023,1R,857-833-6966,50,,,,,,,,,,,,,,,,,A,,,,30-Jul-2024,V,A,30-Oct-2021,02-Aug-2022,,,,,,,A
Carlin Reddick,2LT,123-12-2456,20,VQ1234,SQUADRONVSFB,CYC,Help Desk Operator,21-May-2023,06-Nov-2021,2E274,Z5C052,,,,,29-Dec-2020,309-541-8375,09-Jul-2015,22-Apr-2023,03-May-2023,07-Apr-2052,867 Hansons Place,Peoria,Illinois,52205-001,Wolfy Pashan,,,,06-Dec-2023,M,,,SQUADRONNMAFB,A,19-Feb-2023,A,125-85-1536,08-Sep-2023,1M,757-650-0028,25,,,,,,,,,,,,,,,,,A,APPROVED,,,19-Aug-2024,V,5R,06-Jul-2021,11-Feb-2023,,,,,,,A
Benedick Creyke,2LT,159-84-8462,20,VQ1234,SQUADRONVSFB,CYPR,Analog Circuit Design manager,15-Dec-2022,18-Apr-2021,17D,17D,,,,,11-Aug-2017,702-152-8167,18-Oct-2011,21-Jan-2023,01-Mar-2023,04-Apr-2046,13245 Express Road,Las Vegas,Nevada,63629-5270,Sigmund Capineer,,3,,02-Aug-2024,D,,,,V,03-Jul-2023,A,512-54-5483,13-Feb-2023,1M,314-244-8842,22,,,,,,,,,,,,,,,DEPLOYABLE WITH LIMITATIONS,21-Aug-2024,A,,,,22-Sep-2024,V,7,29-Jul-2020,25-Nov-2022,,,,,,,A
Katrinka Angus,CPT,123-12-2456,10,VQ1234,SQUADRONLRAFB,CYCP,Desktop Support Technician,19-Jun-2022,16-Aug-2023,2E274,2M02S,,,,,11-Mar-2020,619-791-8685,10-Jun-2005,29-Mar-2023,22-Oct-2023,14-Aug-2023,1850 Grasskamp Terrace,San Diego,California,43742-0028,Borg Mathys,,,,04-Apr-2024,M,,,,A,31-May-2023,A,125-85-1536,23-Apr-2023,3C,239-973-6125,19,,,,,,,,,,,,,,,,16-May-2024,,,,,12-Jul-2024,V,A,14-Aug-2021,05-Jun-2023,,,,,,,A
Moses Ropkes,SP4,125-85-1536,10,NM1234,SQUADRONLRAFB,CYPR,Nuclear Power Engineer,15-Jun-2022,03-May-2022,Z5C052,2E274,,,,,18-Dec-2022,423-845-6985,01-May-2021,03-May-2023,18-Apr-2023,01-Jun-2043,19 Harper Junction,Chattanooga,Tennessee,63304-693,Essa Roney,,,,19-Mar-2024,S,,,,V,07-Sep-2023,A,512-54-5483,20-Feb-2023,1R,502-208-6198,33,,,,,,,,,,,,,,,,,A,,,,01-Aug-2024,V,5R,04-Mar-2019,05-Jun-2023,,,,,,,A
Brear St Ange,CPT,152-58-5486,20,VQ1234,SQUADRONVSFB,CYCM,Accounting Assistant III,01-Oct-2021,09-Jan-2022,5C071,2M02S,,,,,02-Dec-2020,419-579-2378,25-Jun-2020,22-Nov-2022,30-Jun-2023,23-Nov-2036,67 Manitowish Drive,Mansfield,Ohio,0884-0773,Paule Pink,,,,16-Feb-2024,D,,,,V,18-Nov-2022,A,125-85-1536,14-Mar-2023,3C,414-153-4083,52,,,,,,,,,,,,,,,DEPLOYABLE WITH LIMITATIONS,,A,,,APPROVED SRB,31-Oct-2024,V,9,02-Jun-2019,20-Oct-2023,,,,,,,A
Ellery Lefever,CPT,159-84-8462,20,VQ1234,SQUADRONLRAFB,CYP,Social Worker,08-Feb-2023,27-Oct-2020,5C071,5C071,,,,,09-Jul-2021,651-445-5936,13-Feb-2008,24-Jun-2023,18-Jul-2023,08-Apr-2030,8 Northfield Way,Saint Paul,Minnesota,17856-5721,Sherie Gianiello,,,,08-Jul-2024,D,,,,V,07-Mar-2023,A,152-58-5486,01-Jul-2023,3C,225-859-3188,48,,,,,,,,,,,,,,44,MEDICAL DEFERMENT,,A,,,,08-Dec-2023,V,A,03-Sep-2020,04-Apr-2022,,,,,,,A
Abram Vasile,LTC,152-58-5486,20,VQ1234,SQUADRONLRAFB,CYC,Senior Sales Associate,25-Feb-2022,20-Aug-2019,2E274,2E274,,,,,08-Apr-2023,801-126-6442,01-Aug-2011,21-Sep-2023,27-Sep-2023,21-Jun-2021,4 Londonderry Center,Provo,Utah,68151-1418,Rianon Tampion,,,,15-Oct-2024,M,,,,A,07-Jul-2023,A,125-85-1536,12-Jun-2023,1J,616-605-6520,21,,,,,,,,,,,,,,,DEPLOYABLE WITH LIMITATIONS,,,APPROVED,,,27-Sep-2024,V,T5,04-Jun-2022,21-Sep-2023,,,,,,,A
Sofie Whitchurch,CMS,159-84-8462,10,VQ1234,SQUADRONVSFB,CYP,Design Engineer,22-May-2023,07-May-2022,5C071,Z5C052,,,,,31-Dec-2018,512-394-1979,07-Sep-2006,07-Jun-2023,11-May-2023,31-Dec-2072,078 Bartelt Place,Austin,Texas,67457-216,Jasper Beaumont,,,,17-Jul-2024,S,,,,L,16-Dec-2022,A,123-12-2456,21-Sep-2023,1J,830-159-4490,36,,,,,,,,,,,,,,,MEDICAL DEFERMENT,,,,,,23-Feb-2024,V,A,05-Aug-2019,31-Dec-2022,,,,,,,A
